Word,Meaning
fortune,"부, 운"
forum,토론회
forward,"앞으로, (물건, 정보를)보내다"
forwarding address,(우편물의) 전송 주소
foster,"촉진하다, 육성하다"
foundation,"토대,기초"
founder,"창립자, 설립자"
fountain,분수
fragile,깨지기 쉬운
frame,"틀, 액자"
franchise,"가맹 사업, 독점 판매권"
frankly,솔직히
free,"자유로이~할 수 있는, 마음대로의"
free admission,무료입장
free of charge,무료
free parking,무료 주차
freezing,몹시 추운
freight,"운송 화물, 화물 운송"
frequency,빈도
frequent,"빈번한, 잦은"
frequently,"자주, 흔히"
fresh,신선한
freshness,신선함
friendly,친절한
frighten,놀라게 하다
fringe benefits,부가 급부
from around the globe,전 세계에서
from now,"지금부터, 앞으로"
from this day onward,오늘부터
front door,정문
front-page story,1면 기사
front-runner,가장 유력한 우승 후보
frosting,설탕을 입힘
frozen food product,냉동식품
frustrate,좌절시키다
frying pan,프라이팬
fuel,연료
fuel consumption,연료 소비
fuel emission,연료 배기
fuel-efficient,연료 효율이 높은
fulfill,"(조건을) 만족시키다, (약속 및 의무 등을) 지키다, 이행하다"
full,"가득 찬, 완전한"
full time work,정규직
fully,"완전히, 충분히"
fumes,"가스, 연기"
function,"행사, 연회"
fund,자금
fund-raising,모금
fundamental,"기본적인, 필수적인"
funding,자금 제공
furnished,가구가 비치된
furniture,가구
further,"더 먼, 그 이상의, 더 나아가서, 게다가"
furthermore,"더욱이, 게다가"
gadget,간단한 도구
gain,얻다
gallery,"화랑, 미술관"
gap,격차
garage,차고
gardening tool,원예도구
garlic,마늘
garment,의류
garner,"얻다, 모으다"
garnish,(음식을) 장식하다
gas station,주유소
gather,모으다
gather up,주워 모으다
gathering,모임
gathering space,모임장소
gauge,측정하다
gaze into ,~을 뚫어지게 보다
gem,보석
general,일반적인
general population,일반 대중
generally,일반적으로
generate,"창출하다, 야기하다"
generation gap,세대 차이
generator,발전기
generic,"회사 이름이 붙지 않은, 일반적인"
generous,관대한
generously,관대하게
genetic research,유전학 연구
gentle,"온화한, 점잖은"
gently,"다정하게, 부드럽게"
genuine,진짜의; 진실한
geographic,지리상의
germ,세균
gesture,몸짓
get a loan,대출을 받다
get a permit,허가를 받다
get a phone call,전화를 받다
get a prescription filled,처방전을 조제 받다
get a promotion,승진하다
get a replacement,교환 받다
get a ride,차를 얻어 타다
get a ticket,표를 구하다
get along with,~와 사이좋게 지내다
get an appointment,약속을 잡다
get back in touch,다시 연락이 되다
get back to,~에게 답변을 전화를 하다
get in line,줄에 들어가 서다
get in touch with,~와 연락을 취하다
get lost,길을 잃다
get off,"떠나다, 출발하다"
get one's approval,~의 승인을 받다
get over,극복하다
get paid,급여를 받다
get reimbursed for,~을 환급 받다
get rid of,~을 제거하다
get some exercise,운동하다
get the food ready,음식을 준비하다
get the point,요점을 이해하다
get through,"(시험 등에) 합격하다, 통과하다"
get to,~에 도착하다
get together,"한데 모이다, 조직하다"
get used to,~에 익숙해지다
gift certificate,상품권
give,(연설·수업 등을) 하다
give A a ride,A를 태워주다
give A an advance,A에게 가불해주다
give a call,전화를 하다
give a discount,할인하다
give a good price,좋은 가격에 주다
give a hand,돕다
give a presentation,발표를 하다
give a raise,임금을 인상해주다
give directions,"일을 지시하다, 방향을 알려주다"
give in,"굴복하다, 양보하다"
give it a try,시도하다
give off,방출하다
give out,나눠주다
give way to,~에게 양보하다
glance at,~을 힐끗보다
glass cabinet,유리 장식장
glassware,유리 제품
go down the steps,계단을 내려가다
go downstairs,아래층으로 내려가다
go forward,앞으로 나아가다
go into business,사업을 시작하다
go on,(어떤 상황이) 계속되다
go on vacation,휴가를 떠나다
go out of business,폐업하다
go out of production,생산을 중단하다
go shopping,쇼핑하다
go straight to,~으로 직행하다
go through,(고난·경험을) 겪다
go through customs,세관을 통과하다
go to a film,영화 보러 가다
go with,(계획·제의 등을)받아들이다
go wrong with,~이 잘못되다
goal,목표
going away party,송별회
good for,"~에 유용한,좋은"
goods,상품
goodwill,호의
gourmet,미식가
govern,"통치하다, 지배하다"
government,정부
government grant,정부 보조금
grab,"잡다, 움켜쥐다"
grab a bite,간단히 먹다
graciously,"상냥하게, 고맙게도"
gradual,"점차적인, 단계적인"
graduation,졸업
grain,곡물
grant,"(인정하여 정식으로) 수여하다, 주다,
(연구비·장학금 등의) 보조금"
grasp,"꽉 잡다, 움켜잡다"
grateful,"고마워하는, 감사하는"
gratified,"만족한, 기뻐하는"
gratis,무료로
gratitude,"고마움, 감사"
gratuity,"팁, 봉사료"
grazing,방목; 목초지
grease,윤활유
greenhouse,온실
greet,"~에게 인사하다, ~를 환영하다"
grill,석쇠
grip,"꽉 잡다, 움켜잡다"
grocery,식료품점
grocery store,"식품점, 슈퍼마켓"
gross income,총소득
ground,"지면, 근거"
group,(그룹으로) 나누다
group rate,단체 요금
grow,"성장하다, 성장시키다, 증가시키다"
growth,"성장, 발전"
growth potential,성장 잠재력
guarantee,"보장하다, 보장"
guest pass,손님용 입장권
guest speaker,초청 연사
guidance,"안내, 지도"
guidebook,(여행) 안내서
guided tour,가이드 동반 여행
gusty,(바람이) 세찬
gym,체육관
gymnasium,체육관
habit,"습관, 버릇"
habitat,(동·식물의)서식지
had better do,"~하는 편이 낫다, ~ 해야 한다"
hail,우박
half price,반값
halfway,"중간에, 중간의"
hallway,복도
halt,"중단,정지"
hammering,쿵쾅거리는
hand,"손, 건네주다"
hand in,제출하다
hand out,~을 나누어 주다
hand over,~을 건네주다
handbook,안내서
handheld,휴대용의
handle,"취급하다, 다루다"
handling,처리; 조작
handmade,수공의
handrail,(계단 등의)난간
handwriting,"(개인의) 글씨, 필체"
handwritten,손으로 쓴
hang,"걸다, 걸리다"
hang out,시간을 보내다
harbor,항구
hardly,거의~하지 않다
harm,해를 끼치다
harmful,"해로운, 유해한"
harsh,"거친, 가혹한"
harvest,"수확하다, 수확"
hastily,"급히, 서둘러서"
have A strapped to one's shoulder,~의 어깨에 A를 메고 있다
have a day off,하루 쉬다
have a discussion,토론하다
have a flat tire,타이어에 바람이 빠지다
have a good view,전망이 좋다
have a light dinner,저녁을 가볍게 먹다
have a long day,힘든 하루를 보내다
have a meal,식사하다
have a monopoly on,~의 독점권을 갖다
have a problem(in) -ing, -하는데 문제가 있다
have a race,경주하다
have a tendency to do ,~하는 경향이 있다
have an injection,주사를 맞다
have an opportunity to do,~할 기회를 갖다
have around,~을 가지고 다니다
have control over,~을 제어하다
have difficulty (in) -ing,~하는데 어려움을 겪다
have little chance of -ing,~할 확률이 적다
have one's hair cut,머리카락을 자르다
have one's hands full,몹시 바쁘다
have permission to do,~할 허가를 받다
have reason to do,~할 이유가 있다
have something to do with,~과 연관이 있다
have the best rates,요금이 가장 저렴하다
have yet to do,"아직~해야 한다, 아직~하고 있지 않다"
hazard,위험
hazardous,위험한
head,"(~의 방향으로) 나아가다, 향하게 하다"
head for,~로 향하다
head office,(회사의) 본사
head toward,~쪽으로 향하다
head up,"이끌다, 책임지다"
headache,두통
headlight,전조등
headline,기사 제목
headquarters,본부
healing,치료의
health,"건강, (사회·기관의) 번영, 안녕"
heart ailment,심장병
heart attack,심장마비
heart disease,심장질환
hearty,마음에서 우러난; (음식의 양이) 풍부한
heat,"열기, 뜨겁게 만들다"
heating system,난방 시스템
heavily,"몹시, 심하게"
heavy traffic,교통 혼잡
hectic,몹시 바쁜
hedge,"울타리, 담"
height,높이
heighten,높이다
help oneself to the food,"자유로이 먹다, 가져다 먹다"
helping,"도움의, (음식물) 한 그릇"
heritage,"전통, 유산"
hesitate,"망설이다, 머뭇거리다"
hiccup,딸꾹질
high-end,최고급의
highlight,"가장 중요한 부분, 강조하다"
highly,"매우,대단히"
highway,고속도로
hinder,"막다, 방해하다"
hire,고용하다
hiring committee,고용 위원회
historic,역사적으로 중요한
hold,"~을 수용하다, ~을 담다,
(회의 등을)개최하다, 열다"
hold back,"자제하다, 억제하다"
hold onto the handrail,난간을 붙잡다
hold power,권력을 쥐다
hold the line,(전화를) 끊지 않고 기다리다
hold up,"견디다, 떠받치다"
hole,"구멍, 틈"
holiday,"휴가, 방학"
home improvement,주거 개선용의
homebuilder,주택건설업자
homemade,집에서 만든
homeowner,주택 소유자
honor,"존경, 명예"
honorable,"고결한, 정직한"
hood,"(자동차의)보닛, 덮개"
hook,"걸이, ~에 걸다"
hopeful,"희망에 찬 ,기대하는"
hospitality,"환대, 친절"
host,(대회 등을) 주최하다
household,"가족, 가구 세대"
housekeeping,가사
housewares,가정용품
housing development,주택 개발
however,"하지만, 그러나"
human resources,"인적 자원, 인사 관리"
humid,습한
hurdle,"곤란한 문제, 장애"
hygiene,위생
ideal,이상적인
ideally,"이상적으로, 완벽하게"
identically,똑같이
identification,"신분증, 신분 증명서"
identify,"알아보다, 확인하다"
if I'm not mistaken,제 기억이 옳다면
if it's okay with you,당신만 괜찮다면
if possible,가능하다면
if you insist,굳이 원하신다면
ignore,무시하다
illegal,불법의
illegible,읽기 어려운
illustrate,"분명히 보여 주다, 설명하다"
imaginable,상상 할 수 있는
immeasurably,헤아릴 수 없을 정도로
immediately,"즉시, 곧"
immensity,"광대함, 엄청난 크기"
immigrant,이주자
immigration,"입국 심사, 이민"
immune,면역의
impact,"영향, 충격"
impair,손상시키다
impartially,"공명정대하게, 치우치지 않게"
impeccable,결점 없는
impede,"저해하다, 방해하다"
impending,"임박한, 절박한"
imperative,"반드시 해야 하는,필수적인"
implant,"이식하다,(사상을)심어주다"
implement,"실시하다, 실행하다"
implicate,연루되었음을 시사하다
implication,"영향, 밀접한 관계"
implicitly,"암암리에, 절대적으로"
imply,"암시하다, 넌지시, 나타내다, 의미하다"
import,"수입하다, 수입"
import license,수입 허가(서)
impose,(세금 등을) 부과하다
impossible,불가능한
impound,(물건을) 압수하다
impractical,"비현실적인, 비실용적인"
impress,감동시키다
impressed,"인상 깊게 생각하는, 감명을 받은"
impression,인상
impressive,"굉장한, 인상적인"
impressively,"인상적으로, 인상 깊게"
improbable,"사실이라고 생각할 수 없는, 일어날 것 같지 않은"
improper,"부당한, 부도덕한"
improperly,부적절하게
improve,"향상시키다, 개선하다"
improvement,향상
improvise,"(연주 · 연설 등을) 즉흥적으로 하다, 즉석에서 만들다"
in a hurry,"서둘러, 급히"
in a moment,"순식간에, 곧"
in a pile,수북이 쌓인
in a positive manner,긍정적으로
in a row,"한 줄로, 연이어"
in a strict way(=strictly),엄격하게
in a timely fashion,적시에
in accordance with,"~에 따라서, ~과 일치하여"
in addition,게다가
in addition to,~에 더하여
in advance,"미리, 사전에"
in alphabetical order,알파벳 순으로
in an attempt to,~하려는 시도로
in anticipation of,~을 예상하고
in appreciation of,~에 감사하여
in bloom,(꽃이)핀
in case of,~의 경우에는
in cash,현금으로
in charge of,"~을 맡아서, 담당해서"
in commemoration of,~을 기념하여
in common,"공통으로, 공동으로"
in conclusion,결론적으로
in contrast,반대로
in defiance of,~에 반항하여
in demand,수요가 있는
in error,"실수로, 잘못한"
in fact,사실은
in favor of,"~에 찬성하여, ~에 이익이 되도록"
in light of,"~을 고려하여,~에 비추어"
in line with,"~과 일치하여, ~에 따라"
in luck,운이 좋은
in observance of,~을 기념하여
in one's absence,~의 부재시에
in one’s grasp,~의 수중에
in order to do,~하기 위해서
in particular,특히
in person,"몸소, 직접"
in place,제자리에
in place of,~을 대신하여
in print,인쇄된
in private,비밀리에
in progress,진행 중인
in reference to,"~에 관하여,~과 관련하여"
in rows,"줄지어, 여러 줄로"
in short,요컨대
in spite of,~에도 불구하고
in stock,재고가 있는
in storage,보관 중인
in summary,요약하면
in support of,~을 지지하여
in the coming year,다가오는 해에
in the direction of,~방향으로
in the distance past,훨씬 이전에
in the event of,~의 경우에는
in the field of,~의 분야에서
in the meantime,그동안에
in the middle of,~도중에
in the past,과거에
in the prepaid envelope,우편요금이 선납 된 봉투에
in the process of,~이 진행 중인
in the vicinity of,~의 부근에
in total,"모두 합해, 총"
in transit,운송 중에
in turn,"차례로, 번갈아, 결과적으로"
in use,사용되는
in writing,서면으로
in-flight,기내의
inaccessible,"접근이 불가능한, 이용이 불가능한"
inaccurate,부정확한
inactive,"활동하지 않는, 활발하지 않은"
inadequate,"부적절한, 불충분한"
inadvertently,"무심코, 우연히"
inaugurate,정식으로 ~을 개시하다
incentive,"혜택, 장려금"
incidental,부수적인
inclement,"(날씨가) 궂은, 혹독한"
inclination,"의향, 뜻"
incline,"기울다, 기울이다"
include,포함하다
including,~을 포함하여
income,소득
incompetent,무능한
inconclusively,"결론 없이, 요점 없이"
inconsistency,불일치
inconvenience,"불편, ~에게 불편을 느끼게 하다"
inconvenient,불편한
inconveniently,불편하게
incorrect,부정확한
increase,"인상, 증가, 증가하다"
increasing,증가하는
increasingly,"점점, 더욱더"
incredible,"놀라운, 믿기 어려운"
increment,"증가, 인상"
incrementally,증가하여
incumbent,현직의
incur,"(손실을)입다, (빚을)지다"
indecisive,"결말이 안 난, 우유부단한"
indeed,"실로, 정말"
indefinitely,"불명확하게, 무기한으로"
independence,독립성
independent,"독립적인, 독자적인"
indicate,"보여주다, 나타내다"
indicated,계기에 표시된
indication,"징후, 조짐"
indicative,"나타내는, 암시하는"
indicator,"지표, 지수"
indifferent,"무관심한, 중요하지 않은"
indigenous,"지역 고유의, 토착의"
individual,"개인, 개인의"
individually tailored,개인 맞춤의
indoors,실내에서
induce,유발하다
indulge,"빠지다, 탐닉하다"
industrial,산업의
industry,산업
inevitable,불가피한
inexpensive,비싸지 않은
inexperience,"무경험, 미숙"
inexperienced,"경험 없는, 미숙한"
infection,감염
infectious disease,전염병
inflation,"물가 상승, 인플레이션, 통화 팽창"
inflict,"(고통·피해를)입히다, 가하다"
influence,"~에 영향을 주다, 영향"
inform,~에게 알리다
informal,"격식에 얽매이지 않는, 편안한"
information,"정보, 자료"
informative,"유익한, 정보를 주는"
informed,정보에 근거한
infrastructure,"사회 기반 시설, 경제 기반 시설"
infringement,침해
infuriate,"화나게 하다, 격분시키다"
infusion,"주입, 혼합"
ingredient,"재료, 성분"
inhabit,거주하다
inhabitant,거주자
inhabitation,거주
inhale,숨을 들이마시다
inherently,본질적으로
initial,"처음의, 최초의"
initially,"처음에,초기에"
initiate,"(사업 등을) 착수하다, 시작하다"
initiative,"계획, 진취성"
injection,주사
inn,여관
innate,타고난
innovate,"혁신하다, 쇄신하다"
innovation,"혁신, 쇄신"
innovative,혁신적인
input,투입
inquire,"문의하다, 질문하다"
inquiry,"문의, 질문"
insecure,"불안한, 확신이 안가는"
insecurely,불안하여
insert,삽입하다
inside,"~의 안에, 이내에"
insight,"식견, 통찰력"
insist,주장하다
insistent,"끈질긴, 강요하는"
insolvent,"지불 불능의, 파산의"
insomnia,불면증
inspect,"~을 검사하다, 조사하다"
inspection,"점검, 검사"
inspector,"조사관, 감독관"
inspiration,영감
install,"설치하다, 장치하다"
installment,할부
instant,즉각적인
instantly,"즉각적으로, 즉시"
instead,대신에
instead of,~대신에
instinctive,본능적인
institute,"협회, 연구소"
institution,"기관,(학교∙병원 등의) 시설"
instruct,"지시하다, 가르치다"
instruction,"설명, 지시"
instructor,강사
instrument,"도구, 기계, 악기"
instrumental,(어떤 일을 하는 데) 중요한
insufficient,불충분한
insulation,단열재
insult,모욕하다
insurance,보험
intake,(음식의) 섭취
integration,통합
intend,"~할 작정이다, 의도하다"
intended recipient,해당 수취인
intense,"극심한, 강렬한"
intensify,"강화하다, 증대하다, 강렬하게 만들다"
intensive,집중적인
intensively,집중적으로
intent,"의지, 목적"
intention,"의지, 의향"
intentionally,"고의로, 의도적으로"
intently,주의 깊게
inter department,부서간의
interact,"소통하다, 교류하다, 상호 작용을 하다"
intercept,도중에 가로막다
interest,"관심, 권리, 이자"
interested,"관련 있는, 관심이 있는"
interfere,"방해하다, 해치다"
interfere with,~을 방해하다
intermission,"(연극·영화의) 휴식 시간, 막간"
internal,내부의
international,국제적인
internship,"인턴 신분, 인턴 기간"
interpersonal skills,대인관계능력
interpretation,"해석, 설명"
interrupt,"중단시키다, 방해하다"
interruption,"중단, 방해"
intersection,"교차로, 교차 지점"
intervention,간섭
interview,"면접,면접을 보다"
intriguingly,"흥미를 자아내어, 호기심을 자극하여"
introduce,"(신제품을) 발표하다, 소개하다"
introduction,"도입, 소개"
intuitively,직관적으로
invalid,"실효성이 없는, 무효인"
invaluable,"매우 유용한, 귀중한"
invention,"발명, 발명품"
inventory,"재고품, 재고 목록"
invest,"투자하다, 운용하다"
investigation,조사
investment,"투자, 투자금"
investor,투자가
invitation,초대
invite,초대하다
inviting,"매력적인, 솔깃한"
invoice,송장
involuntarily,본의 아니게
involve,"수반하다, 포함하다, 참여시키다"
involved,"관여하는, 관계된, 연루된"
inward,안으로
iron,"철, 다리미질을 하다"
ironing,다림질
irrelevant,"관계가 없는, 무관한"
irreplaceable,바꿀 수 없는
irretrievable,"회복할 수 없는, 돌이킬 수 없는"
irreversible,되돌릴 수 없는
irrigation system,관개 시설
isolated,"고립된, 격리된"
issue,"(출판물의)제~호, 문제, 쟁점"
it could have been worse.,이만하니 다행이다.
it's about time,~할 때이다
it's no use-ing,~해봤자 소용없다
item,항목
itemized,항목별로 구분된
itinerary,여행 일정
janitor,(건물) 관리인
jeopardize,"위태롭게 하다, 위험에 빠뜨리다"
jet lag,시차증(여행 시 시차로 인한 피로)
jingle,시엠송(광고 선전용 노래)
job cutback,인력감축
job fair,취업 박람회
job offer ,일자리 제안
job opportunity,취업 기회
job satisfaction,업무 만족도
job search,구직
job seeker,구직자
job title,직함
jog along the street,길을 따라 조깅하다
join,~에 가입하다
joint,공동의
journal,"신문, 잡지, 일지"
journalist,기자
journey,여행
judge,"판단하다, 평가하다"
judicial,"사법의, 재판의"
just for a minute,잠시만 기다려 주세요
just in case,"~할 경우를 대비해, 만일을 위해서"
just in time,겨우 시간에 맞춰
just to make sure,확실히 해두기 위해
justification,정당한 이유
justify,정당화하다
justly,"정당하게, 당연히"
keenly,"날카롭게, 예민하게"
keep,"보유하다, 계속하다"
keep A informed of B,A에게 B에 대해 알려주다
keep A up to date,A에게 최근 소식을 계속 알려주다
keep going,"계속 살아가다, 계속 견디다"
keep in mind,명심하다
keep on top of,~의 선두를 유지하다
keep one's eye on,"~에서 눈을 떼지 않다, ~을 감시하다"
keep to oneself,"비밀로 하다, 독차지 하다"
keep track of,~을 계속 알고 있다
kettle,주전자
key to success,성공의 길
keynote address,기조연설
keynote speaker,기조연설자
keypad,(전화 〮계산기 등의) 소형 키보드
kindhearted,친절한
kitchen appliance,주방용품
kneel,무릎을 꿇다
knife,칼
knob,손잡이
knock off,업무를 마치다
know like the back of one's hand,A를 아주 잘 알고 있다
knowledgeable,아는 것이 많은
lab report,실험 보고서
lab technician,연구실 기술자
label,"라벨, 꼬리표, ~에 라벨을 붙이다"
labor,"노동, 일하다, 노동하다"
labor costs,인건비
labor dispute,"노동 쟁의, 노사 분규"
laboratory,실험실
lace,"끈, 끈을 묶다"
lack,"~이 없다,부족"
lack confidence,자신감이 결여되다
ladder,사다리
lag,"뒤처지다, 뒤떨어지다"
lakefront,호숫가
lamppost,가로등 기둥
land at the dock,부두에 정박하다
landfill,쓰레기 매립지
landing,착륙
landlord,집주인
landmark,"유명한 건물, 유명한 장소"
landscape,풍경
landscaping,조경
lane,차선
language acquisition,언어습득
laptop,휴대용 컴퓨터
large,"큰, 넓은"
largely,"주로, 대부분"
last,지속되다
last-minute,"막바지의, 마지막 순간에"
late,"늦은, 늦게"
lately,최근에
latent,잠재된; 잠복성의
latest,최신의
latest work,최신 작품
laugh away,~을 웃음으로 넘기다
launch,(신제품을) 출시하다
laundry service,세탁 서비스
lavish,사치스러운
law firm,법률 회사
lawn,"잔디, 잔디밭"
lawsuit,"소송, 고소"
lax,"(행동 등이)느슨한, 규율에 못 미치는"
lay off,해고하다
lay out,"펼치다, 늘어놓다"
layover,"(비행 시의) 도중 하차, 경유지"
lead,"이끌다, 지휘하다, (어떤 결과에)이르다"
lead (up/down) to,"~로 이어지다, ~로 통하다"
leadership,"리더십, 지도력"
leading,"지도, 통솔, 선도적인, 일류의, 가장 중요한, 선두적인"
leak,"누출, 누출량, (물·빛이) 새게 하다"
leaky,(액체 등이) 세는
lean,"기울이다, 숙이다"
lean against the fence,울타리에 기대다
lean back,뒤로 기대다
lean over the railing,난간 위로 기대다
learning center,교육 센터
lease,임대차(계약)
least,"가장 작은, 가장 적은"
leave,"휴가, 떠나다, 남기다"
leave A up to B,A를 B에게 맡기다
leave A with B,A를 B에게 맡기다
leave a message,메시지를 남기다
leave for,~로 떠나다
lecture,"강의, 강연"
ledge,"선반, 절벽에서 튀어나온 바위"
ledger,회계 장부
leftover,"남은, 남은 음식"
leg room,(자동차 등에) 다리를 뻗을 수 있는 공간
legacy,"유산, 유물"
legal,"법률의, 합법적인"
legal counsel,법률 상담
legal department,법률부서
legible,읽기 쉬운
legislation,"법률, 법규"
legitimate,"합법적인, 적법한"
leisure,여가
leisurely,"느긋한, 여유있는, 천천히"
lend,빌려주다
length,길이
lengthen,"길어지다, 늘이다"
lengthy,"(시간이)긴, 오랜"
less,"보다 적은, 덜한"
lesson,"수업, 교훈"
let go,놓아주다
let's end,끝냅시다
letter of recommendation,추천서
level,"(사회적) 지위, 수준"
levy,부과금
liability,책임
liable,"책임져야 할, ~하기 쉬운"
librarian,"도서관원, 사서"
license plate number,차량 번호
licensed,"인가된, 자격증을 소지한"
lid,뚜껑
life expectancy,평균 수명
life preserver,(구명 조끼 등의) 구명 기구
life span,수명
lifetime employment,종신 고용
lift,들어 올리다
light bulb,백열전구
lighten,밝게 하다
lighthouse,등대
lightly,"가볍게, 부드럽게"
lightweight,"가벼운, 경량의"
like,좋아하다
likely,~할 것 같은
limit,"한계, 제한"
limitation,"제한, 한계"
limited,"제한된, 한정된"
limited edition,한정판
line up,"한 줄로 늘어서다, 줄을 이루다"
line worker,작업 라인 노동자
lingering,"오래 끄는, 오래 가는"
linguistics,언어학
link together,연결시키다
liquid,"액체, 액체의"
liquidate,"(회사를) 정리하다, 해산하다"
liquidity,(자산의) 유동성
list,"목록,명단,목록에 기입하다"
listen to,~을 듣다
listing,목록
literacy,읽고 쓰는 능력
literally,문자 그대로; 실제로
litter,"쓰레기, 어지르다, 흐트러뜨리다"
live,(라디오 · TV가) 생방송인
lively,"활기찬, 활발한"
load,"짐, 작업량"
load A onto B,A를 B에 싣다
load a truck,트럭에 짐을 싣다
load size,적재 수하물 크기
loaded with,(짐을) 실은
loading,"적재, 선적"
loading dock,하역장
loan,"대출, 대출금"
lobby,로비
local,"지방의, 고장의"
local time,현지 시간
locale,"현장,(소설·영화 등의) 무대"
locally,장소상으로
locate,"(~의 위치를) 찾아내다, ~을 위치시키다"
location,"장소, 위치"
lock the key in the car,열쇠를 차에 두고 잠그다
lock up,(자물쇠를 채워) 보관하다
lodging,"임시 숙소,하숙"
log on to,~에 로그인하다
logging,벌목
logistics,"물류, 실행 계획"
long-lasting,오래 지속되는
long-term,장기(長期)의
long-term stability,장기 안정(성)
look after,~를 보살피다
look different,다르게 보이다
look for,~을 찾다
look into,~을 조사하다
look out,조심하다
look over,"~을 훑어보다, 조사하다"
look through the manual,사용 설명서를 읽다
look up,"~을 찾다, 쳐다보다"
look up to,~를 존경하다
loose,헐거워진
loosely,대략
lose,분실하다
lose ground,"약세를 보이다, 세력을 잃다"
lose one's temper,화를 내다
lose oneself in,~에 몰두하다
lose weight,살이 빠지다
loss,손실
lost and found,분실물 보관소
lost in delivery,배송 중에 분실된
loudly,시끄럽게
loudspeaker,확성기
lounge,대합실
low-income resident,저소득 주민
lower,(양·가격을) 줄이다
loyal customer,단골 고객
loyalty,"충실, 충성, 충성심"
lucid,명쾌한
lucrative,"수익성 있는, 돈벌이가 되는"
luggage tag,수하물 표
luncheon,"오찬, 점심"
lung,"폐, 허파"
luxury,"사치, 사치품, 값비싼"
luxury goods,사치품
machinery,"기계류, 기계장치"
made-to-order,맞춤 제작된
magazine,잡지
mail,"우편물, 우편으로 보내다"
mailing list,우편물 수취인 명부
mainland,본토
maintain,"유지하다, 관리하다"
maintenance,유지
maintenance cost,유지비
major,"주요한, 중대한"
majority,"대부분, 대다수"
make,"~을 하다, ~을 만들다"
make A a regular habit,A하는 습관을 들이다
make a bid,입찰하다
make a call,전화를 걸다
make a commitment to,"~에 헌신하다, 전념하다"
make a complaint,불평하다
make a conclusion,결론을 내리다
make a contract with,~와 계약을 맺다
make a copy,복사하다
make a correction,"정정하다, 수정하다"
make a decision,결정하다
make a delivery,배달하다
make a deposit,"계약금을 치르다, 보증금을 치르다"
make a final change,최종 수정을 하다
make a mistake,실수하다
make a move,행동을 취하다
make a note of,~을 적어두다
make a point of -ing,반드시 -하다
make a presentation,발표하다
make a purchase,구입하다
make a recording,"녹음하다, 녹화하다"
make a request,요청하다
make a response,응답하다
make a revision,수정하다
make a selection,선정하다
make a speech,연설하다
make a stop,정지하다
make a transfer,"(차를) 갈아타다, 바꾸다"
make a withdrawal,돈을 인출하다
make adjustment,조정하다
make an appointment,예약을 하다
make an arrangement,준비하다
make an assessment,평가를 내리다
make an error,실수를 범하다
make an exception,예외로 하다
make an impression,"인상을 주다, 감동시키다"
make clear,분명히 하다
make forecast,예측하다
make money,돈을 벌다
make no difference,"상관없다, 중요하지 않다"
make no exception,예외를 두지 않다
make on outside call,외부로 전화를 걸다
make oneself at home,편히 쉬다
make payment,지불하다
make public,발표하다
make repairs,수리하다
make room for,~을 위해 공간을 마련하다
make sure,확인하다
make the bed,잠자리를 준비하다
make the first move,"개시하다, 발단을 만들다"
make up for,"~을 만회하다, 보상하다"
make up one's mind,결정을 내리다
makeshift,임시방편의
makeup,"조립, 구성"
malfunction,"오작동, 기능 불량"
manage,"~을 경영하다, 가까스로 하다"
management,"경영진, 경영"
management seminar,경영 세미나
managerial,관리의
mandate,"명령하다, 지시하다, 권한, 지시, 명령"
mandatory,의무적인
maneuver,"이동시키다, 움직이다"
manipulation,"조작, 시장 조작"
manner,"방식, 태도"
manpower,인력
manual,"설명서, 안내서"
manufacturer,"제조 회사, 제조업자"
manufacturing,제조(업)의
manuscript,원고
march,행진하다
marginal,"약간의, 주변의"
marginally,"아주 조금, 미미하게"
mark,"점수, 평점, 표시, 기념하다, 축하하다"
markedly,"현저하게, 눈에 띄게"
market,시장
market awareness,시장 인지도
market share,시장 점유율
market stall,시장 가판대
market value,"시가, 시세"
marketable,시장성이 높은
marketplace,시장
massive,"대량의, 대규모의"
master's degree,석사 학위
mastermind,"(계획 등의)입안자, 지도자"
match,"~에 어울리다, 조화되다"
material,"재료, 물질"
maternity leave,출산 휴가
maternity ward,산부인과 병동
matter,"중요하다, 문제되다, 문제, 일"
maximize,극대화하다
meal,식사
meal pass,식권
meaning,"뜻,의미"
meaningful,"의미 있는, 중요한"
means,"방법, 수단"
meanwhile,"그동안에, 한편"
measure,"대책, 조치, 수단, 측정하다"
measurement,"측정, 측량, 치수"
mechanical,"기계상의, 기계로 움직이는"
mechanism,"기계 장치,메커니즘"
mediate,중재하다
mediation,"조정, 중재"
medical facility,의료시설
medicinal,"약용의, 치유력이 있는"
meditate,숙고하다
meet,(필요〮요구 등을 만족시키다)
meet one's goal,목표를 달성하다
meet the deadline,마감일을 맞추다
meet the expenses,경비를 대다
meet the requirements,요구조건을 충족시키다
meet the standards,기준을 충족시키다
meeting,회의
meeting time,회의 시간
memoirs,"회고록, 전기"
memorable,"기억할 만한, 잊혀지지 않는"
memorial,"기념물, 기념의"
menace,위협하다
mend,수선하다
mention,언급하다
mentor,조언자
menu,"메뉴, 음식, 요리"
merchandise,"상품, 제품"
merchant,"상인, 상업(용)의, 무역의"
merge,"합병하다, 병합하다"
merger,합병
merit,장점
mess up,(계획을) 망치다
method,"방식, 방법"
metropolitan area,대도시 지역
midday,정오
